"os"	"os_major"	"browser"	"browser_major"	"edits"	"percentage"
"Windows 7"	"Other"	"Chrome"	"39"	603182	17.718108582465
"Windows 7"	"Other"	"Firefox"	"33"	240609	7.06774470710053
"Windows 8.1"	"Other"	"Chrome"	"39"	215560	6.33194539299274
"Windows 7"	"Other"	"Firefox"	"34"	184501	5.41960594244087
"Windows 7"	"Other"	"IE"	"11"	166687	4.89633040323706
"Windows 7"	"Other"	"Chrome"	"40"	163818	4.81205525324404
"Windows XP"	"Other"	"Chrome"	"39"	108751	3.1944952376756
"Windows 7"	"Other"	"Firefox"	"35"	81373	2.39028294889589
"Mac OS X"	"10"	"Chrome"	"39"	76520	2.2477289917972
"Windows 8.1"	"Other"	"IE"	"11"	71381	2.09677395665807
"Windows 8.1"	"Other"	"Firefox"	"33"	70851	2.0812055253244
"Mac OS X"	"10"	"Safari"	"8"	70405	2.06810454348513
"Windows XP"	"Other"	"Firefox"	"33"	66690	1.95897865215571
"Windows 8.1"	"Other"	"Chrome"	"40"	63941	1.87822843001182
"Windows 8.1"	"Other"	"Firefox"	"34"	55860	1.64085391377145
"Windows XP"	"Other"	"Firefox"	"34"	51579	1.51510211275363
"Mac OS X"	"10"	"Safari"	"7"	49693	1.45970199672475
"Windows 8"	"Other"	"Chrome"	"39"	48276	1.41807847370624
"Windows Vista"	"Other"	"Chrome"	"39"	43327	1.27270457432824
"Mac OS X"	"10"	"Firefox"	"33"	38190	1.12180828798661
"Ubuntu"	"Other"	"Firefox"	"34"	35755	1.05028162704795
"Windows 7"	"Other"	"Chrome"	"38"	30755	0.903409633334068
"Windows 7"	"Other"	"IE"	"9"	28917	0.849419488444846
"Windows 8.1"	"Other"	"Firefox"	"35"	27576	0.810028419730784
"Mac OS X"	"10"	"Safari"	"6"	26872	0.78934884301587
"Windows XP"	"Other"	"Chrome"	"40"	26437	0.776570979562762
"Windows 7"	"Other"	"IE"	"10"	23252	0.683013519567021
"Windows XP"	"Other"	"Firefox"	"35"	22722	0.66744508823335
"Windows 7"	"Other"	"Opera"	"26"	21995	0.646089900347352
"Windows Vista"	"Other"	"Firefox"	"33"	21832	0.64130187335228
"Mac OS X"	"10"	"Firefox"	"34"	21424	0.629317118665227
"Mac OS X"	"10"	"Chrome"	"40"	20945	0.615246781667438
"Mac OS X"	"10"	"Safari"	"5"	19347	0.568306492476482
"Other"	"Other"	"Other"	"Other"	18930	0.556057368200745
"iOS"	"8"	"Mobile Safari"	"8"	17372	0.5102920549595
"Windows 7"	"Other"	"Yandex Browser"	"14"	16640	0.488789995079788
"Linux"	"Other"	"Chrome"	"39"	16511	0.48500069764197
"Windows 7"	"Other"	"Firefox"	"31"	16266	0.47780396994999
"Windows Vista"	"Other"	"Firefox"	"34"	15104	0.443670918610885
"Windows 7"	"Other"	"Chrome"	"37"	14797	0.434652978196853
"Windows 7"	"Other"	"Opera"	"12"	13822	0.406012939422646
"Windows 7"	"Other"	"Chrome"	"36"	13183	0.387242698626012
"Ubuntu"	"Other"	"Firefox"	"33"	13142	0.386038348277559
"Mac OS X"	"10"	"Firefox"	"35"	12941	0.380134094130261
"Windows 8"	"Other"	"IE"	"10"	12297	0.361216981339913
"Windows 7"	"Other"	"Other"	"Other"	11402	0.334926894465129
"Windows 8"	"Other"	"Chrome"	"40"	11328	0.332753188958164
